SYS,SYS,SYS,SYS,SYS,USERDEF,USERDEF,USERDEF,USERDEF,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,MATCH,MATCH,MATCH,MATCH,STABILITY,STABILITY,STABILITY,STABILITY,STABILITY,STABILITY,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,META,META,META,META,META,META,META
9,10:36:15,2025-04-03,Petals MtDiablo,Shea Nolan,,005,A,bottom,0.088109,2.541723,0.085157,1.206624,1.091224,1.047964,2.467376,1.376152,10.596063,11.033472,24.947876,0.441786,7.500000,43.98,42.24,20.90,20.81,20.81,98.90,120.5,119.9,0.5,1891,3.701,10:24:56,2025-04-03,0.10,1,-0.004,-0.003,-0.011,0.000,0.004,0.004,1,115,0.005,2.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,2.488590,2.502079,1.358774,0.843559,0.321331,-0.001381,0.259791,1.749046,36.088943,0.000131,2.417466,-0.000070,1.000000,2.427854,-0.000070,1.000000,0.600196,0.599648,0.106705,0.000000,,PFA-00224,PSA-00236,,RHS-00313,3.0.0,2025-03-19T00:30:05.507Z
10,10:36:49,2025-04-03,Petals MtDiablo,Shea Nolan,,005,A,top,0.003367,2.540606,0.003362,0.062894,1.087801,1.085544,2.900638,1.812837,10.975515,10.998332,29.327215,0.441786,7.500000,43.77,43.68,20.93,23.47,23.47,98.91,120.4,119.7,0.6,992,3.700,10:36:28,2025-04-03,0.14,1,0.002,0.002,-9999.000,0.006,0.005,-9999.000,1,115,0.005,2.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,2.490711,2.501692,1.358109,0.843136,0.320980,0.028549,0.262135,0.968339,36.117912,0.000134,2.417466,-0.000070,1.000000,2.427854,-0.000070,1.000000,0.600196,0.599648,0.106705,0.000000,,PFA-00224,PSA-00236,,RHS-00313,3.0.0,2025-03-19T00:30:05.507Z
11,10:40:00,2025-04-03,Petals MtDiablo,Shea Nolan,,006,A,bottom,0.126750,2.542708,0.120731,1.729698,1.143277,1.081325,2.534119,1.390842,10.931499,11.557797,25.618320,0.441786,7.500000,45.84,43.36,20.99,21.25,21.25,98.92,120.6,120.1,0.4,1733,3.697,10:36:28,2025-04-03,0.14,1,-0.002,-0.002,0.016,-0.003,0.001,0.006,1,115,0.005,2.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,2.490225,2.504748,1.359361,0.844004,0.320252,0.002545,0.274754,1.611079,36.259533,0.000131,2.417466,-0.000070,1.000000,2.427854,-0.000070,1.000000,0.600196,0.599648,0.106705,0.000000,,PFA-00224,PSA-00236,,RHS-00313,3.0.0,2025-03-19T00:30:05.507Z
12,10:40:35,2025-04-03,Petals MtDiablo,Shea Nolan,,006,A,top,0.035960,2.539237,0.035457,0.667829,1.261923,1.237979,3.084085,1.822162,12.515207,12.757263,31.178196,0.441786,7.500000,50.41,49.45,21.05,24.49,24.49,98.92,120.3,119.9,0.4,2012,3.696,10:36:28,2025-04-03,0.14,1,-0.001,-0.000,-9999.000,0.000,0.003,-9999.000,1,115,0.005,2.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,2.499086,2.511415,1.357295,0.843542,0.319454,0.039075,0.277098,1.853958,36.323189,0.000133,2.417466,-0.000070,1.000000,2.427854,-0.000070,1.000000,0.600196,0.599648,0.106705,0.000000,,PFA-00224,PSA-00236,,RHS-00313,3.0.0,2025-03-19T00:30:05.507Z
13,10:42:40,2025-04-03,Petals MtDiablo,Shea Nolan,,007,A,bottom,-0.002168,2.540995,-0.002170,-0.036414,1.327186,1.328488,2.950851,1.623666,13.435224,13.422049,29.842449,0.441786,7.500000,52.32,52.37,21.26,23.75,23.75,98.88,120.5,119.9,0.4,579,3.695,10:36:28,2025-04-03,0.14,1,0.004,-0.000,-0.019,-0.000,-0.002,0.003,1,115,0.005,2.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,2.503223,2.514132,1.358341,0.843683,0.316708,0.028014,0.284447,0.609773,36.379337,0.000131,2.417466,-0.000070,1.000000,2.427854,-0.000070,1.000000,0.600196,0.599648,0.106705,0.000000,,PFA-00224,PSA-00236,,RHS-00313,3.0.0,2025-03-19T00:30:05.507Z
14,10:43:13,2025-04-03,Petals MtDiablo,Shea Nolan,,007,A,top,0.003363,2.542819,0.003358,0.054690,1.345728,1.343774,2.921331,1.575603,13.588467,13.608227,29.540991,0.441786,7.500000,52.55,52.47,21.42,23.59,23.59,98.89,120.6,119.7,0.7,1154,3.695,10:36:28,2025-04-03,0.14,1,0.006,0.002,-0.013,-0.002,-0.003,-0.001,1,115,0.005,2.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,2.503323,2.514418,1.359428,0.843148,0.314729,0.024281,0.286404,1.108952,36.411880,0.000133,2.417466,-0.000070,1.000000,2.427854,-0.000070,1.000000,0.600196,0.599648,0.106705,0.000000,,PFA-00224,PSA-00236,,RHS-00313,3.0.0,2025-03-19T00:30:05.507Z
15,10:46:55,2025-04-03,Petals MtDiablo,Shea Nolan,,008,A,bottom,-0.012635,2.541764,-0.012698,-0.213648,1.302364,1.310005,2.930469,1.628106,13.247798,13.170519,29.635197,0.441786,7.500000,49.35,49.64,21.91,23.64,23.64,98.88,120.5,119.9,0.5,961,3.691,10:36:28,2025-04-03,0.14,1,-0.002,-0.005,-0.011,0.007,0.000,0.005,1,115,0.005,2.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,2.499148,2.509671,1.358799,0.843645,0.308615,0.019248,0.298630,0.940982,36.446571,0.000131,2.417466,-0.000070,1.000000,2.427854,-0.000070,1.000000,0.600196,0.599648,0.106705,0.000000,,PFA-00224,PSA-00236,,RHS-00313,3.0.0,2025-03-19T00:30:05.507Z
16,10:47:35,2025-04-03,Petals MtDiablo,Shea Nolan,,008,A,top,-0.002512,2.541015,-0.002515,-0.038504,1.305857,1.307235,2.788598,1.482741,13.219216,13.205282,28.199272,0.441786,7.500000,48.91,48.96,22.10,22.82,22.82,98.89,120.5,120.2,0.2,379,3.691,10:47:11,2025-04-03,0.20,1,-0.003,-0.004,-9999.000,0.003,0.002,-9999.000,1,115,0.005,2.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,2.498116,2.508892,1.358353,0.844244,0.306240,0.007591,0.301028,0.436025,36.500572,0.000135,2.417466,-0.000070,1.000000,2.427854,-0.000070,1.000000,0.600196,0.599648,0.106705,0.000000,,PFA-00224,PSA-00236,,RHS-00313,3.0.0,2025-03-19T00:30:05.507Z
17,10:53:15,2025-04-03,Petals MtDiablo,Shea Nolan,,009,A,bottom,0.018097,2.539717,0.017968,0.282836,1.153102,1.142958,2.679182,1.526080,11.560505,11.663101,27.098713,0.441786,7.500000,43.68,43.29,21.92,22.16,22.16,98.87,120.4,120.2,0.1,1585,3.688,10:47:11,2025-04-03,0.20,1,-0.006,-0.005,-9999.000,0.002,0.001,-9999.000,1,115,0.005,2.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,2.489911,2.501241,1.357580,0.844286,0.308522,0.002214,0.317042,1.482544,36.413670,0.000132,2.417466,-0.000070,1.000000,2.427854,-0.000070,1.000000,0.600196,0.599648,0.106705,0.000000,,PFA-00224,PSA-00236,,RHS-00313,3.0.0,2025-03-19T00:30:05.507Z
18,10:53:36,2025-04-03,Petals MtDiablo,Shea Nolan,,009,A,top,0.008661,2.538485,0.008632,0.130918,1.116235,1.111534,2.587793,1.471558,11.241670,11.289215,26.172039,0.441786,7.500000,42.20,42.02,21.95,21.59,21.59,98.88,120.3,119.9,0.3,875,3.687,10:47:11,2025-04-03,0.20,1,0.003,0.002,-9999.000,0.001,0.000,-9999.000,1,115,0.005,2.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,2.488025,2.499028,1.356848,0.843621,0.308118,-0.004589,0.318280,0.866414,36.465881,0.000130,2.417466,-0.000070,1.000000,2.427854,-0.000070,1.000000,0.600196,0.599648,0.106705,0.000000,,PFA-00224,PSA-00236,,RHS-00313,3.0.0,2025-03-19T00:30:05.507Z
19,10:58:17,2025-04-03,Petals MtDiablo,Shea Nolan,,010,A,bottom,-0.001544,2.541815,-0.001544,-0.020918,1.075492,1.076241,2.390798,1.315306,10.887815,10.880232,24.186552,0.441786,7.500000,41.33,41.36,21.68,20.30,20.30,98.85,120.5,119.9,0.5,137,3.684,10:47:11,2025-04-03,0.20,1,-0.004,-0.001,-9999.000,-0.000,0.000,-9999.000,1,115,0.005,2.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,2.487114,2.497797,1.358829,0.843599,0.311475,-0.015914,0.331412,0.225688,36.459805,0.000131,2.417466,-0.000070,1.000000,2.427854,-0.000070,1.000000,0.600196,0.599648,0.106705,0.000000,,PFA-00224,PSA-00236,,RHS-00313,3.0.0,2025-03-19T00:30:05.507Z
20,10:58:54,2025-04-03,Petals MtDiablo,Shea Nolan,,010,A,top,-0.000978,2.540131,-0.000978,-0.012923,1.072570,1.073033,2.356006,1.283437,10.855331,10.850641,23.834515,0.441786,7.500000,41.47,41.49,21.58,20.06,20.06,98.85,120.4,120.0,0.3,134,3.684,10:58:32,2025-04-03,0.11,1,0.001,-0.002,-9999.000,0.001,-0.001,-9999.000,1,115,0.005,2.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,2.487325,2.498161,1.357827,0.843806,0.312714,-0.017418,0.333169,0.223277,36.441208,0.000131,2.417466,-0.000070,1.000000,2.427854,-0.000070,1.000000,0.600196,0.599648,0.106705,0.000000,,PFA-00224,PSA-00236,,RHS-00313,3.0.0,2025-03-19T00:30:05.507Z
21,10:59:58,2025-04-03,Petals MtDiablo,Shea Nolan,,011,A,bottom,-0.003723,2.538061,-0.003729,-0.058323,1.030482,1.032578,2.548591,1.518109,10.446886,10.425680,25.784824,0.441786,7.500000,40.20,40.28,21.43,21.34,21.34,98.84,120.2,119.8,0.4,1757,3.683,10:58:32,2025-04-03,0.11,1,0.001,-0.000,-9999.000,0.001,0.002,-9999.000,1,115,0.005,2.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,2.485562,2.496282,1.356596,0.843360,0.314539,-0.001521,0.336514,1.632104,36.499142,0.000132,2.417466,-0.000070,1.000000,2.427854,-0.000070,1.000000,0.600196,0.599648,0.106705,0.000000,,PFA-00224,PSA-00236,,RHS-00313,3.0.0,2025-03-19T00:30:05.507Z
22,11:00:17,2025-04-03,Petals MtDiablo,Shea Nolan,,011,A,top,-0.000158,2.535493,-0.000158,-0.002557,1.009561,1.009653,2.579378,1.569817,10.214120,10.213189,26.094189,0.441786,7.500000,39.45,39.45,21.41,21.54,21.54,98.85,120.0,119.9,0.2,1672,3.683,10:58:32,2025-04-03,0.11,1,-0.001,-0.003,-9999.000,0.003,0.001,-9999.000,1,115,0.005,2.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,2.484330,2.495154,1.355074,0.843497,0.314879,0.000996,0.337673,1.558859,36.532043,0.000134,2.417466,-0.000070,1.000000,2.427854,-0.000070,1.000000,0.600196,0.599648,0.106705,0.000000,,PFA-00224,PSA-00236,,RHS-00313,3.0.0,2025-03-19T00:30:05.507Z
23,11:04:03,2025-04-03,Petals MtDiablo,Shea Nolan,,012,A,bottom,0.001468,2.540976,0.001467,0.020570,1.069865,1.069128,2.430860,1.360995,10.816095,10.823557,24.592396,0.441786,7.500000,42.05,42.02,21.31,20.57,20.57,98.85,120.5,120.0,0.4,184,3.681,10:58:32,2025-04-03,0.11,1,-0.000,0.000,-9999.000,0.001,-0.002,-9999.000,1,115,0.005,2.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,2.488166,2.499080,1.358329,0.843941,0.316067,-0.008767,0.350304,0.266554,36.763428,0.000131,2.417466,-0.000070,1.000000,2.427854,-0.000070,1.000000,0.600196,0.599648,0.106705,0.000000,,PFA-00224,PSA-00236,,RHS-00313,3.0.0,2025-03-19T00:30:05.507Z
24,11:04:43,2025-04-03,Petals MtDiablo,Shea Nolan,,012,A,top,-0.016038,2.538657,-0.016140,-0.219981,1.052119,1.060020,2.375973,1.323854,10.723793,10.643860,24.036758,0.441786,7.500000,41.46,41.77,21.27,20.20,20.20,98.85,120.3,119.7,0.5,205,3.680,10:58:32,2025-04-03,0.11,1,-0.001,-0.004,-9999.000,-0.003,-0.002,-9999.000,1,115,0.005,2.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,2.487806,2.498206,1.356950,0.843221,0.316601,-0.012405,0.352124,0.284961,36.758423,0.000130,2.417466,-0.000070,1.000000,2.427854,-0.000070,1.000000,0.600196,0.599648,0.106705,0.000000,,PFA-00224,PSA-00236,,RHS-00313,3.0.0,2025-03-19T00:30:05.507Z
25,11:08:07,2025-04-03,Petals MtDiablo,Shea Nolan,,013,A,bottom,0.010460,2.539081,0.010417,0.157766,1.081959,1.076296,2.551208,1.469250,10.890409,10.947702,25.814175,0.441786,7.500000,42.06,41.84,21.49,21.36,21.36,98.83,120.3,119.8,0.5,1825,3.678,10:58:32,2025-04-03,0.11,1,0.004,-0.004,-9999.000,0.002,0.005,-9999.000,1,115,0.005,2.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,2.487867,2.499064,1.357202,0.843321,0.313827,-0.001976,0.362289,1.691513,36.930443,0.000131,2.417466,-0.000070,1.000000,2.427854,-0.000070,1.000000,0.600196,0.599648,0.106705,0.000000,,PFA-00224,PSA-00236,,RHS-00313,3.0.0,2025-03-19T00:30:05.507Z
26,11:08:22,2025-04-03,Petals MtDiablo,Shea Nolan,,013,A,top,0.017499,2.540756,0.017379,0.286186,1.086615,1.076355,2.683185,1.596570,10.890115,10.993928,27.147366,0.441786,7.500000,42.09,41.70,21.55,22.18,22.18,98.84,120.5,119.9,0.5,1624,3.678,10:58:32,2025-04-03,0.11,1,0.004,0.003,-9999.000,-0.004,-0.001,-9999.000,1,115,0.005,2.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,2.487638,2.499098,1.358198,0.843553,0.313098,0.006698,0.362963,1.516860,36.935806,0.000133,2.417466,-0.000070,1.000000,2.427854,-0.000070,1.000000,0.600196,0.599648,0.106705,0.000000,,PFA-00224,PSA-00236,,RHS-00313,3.0.0,2025-03-19T00:30:05.507Z
27,11:11:14,2025-04-03,Petals MtDiablo,Shea Nolan,,014,A,bottom,0.007750,2.539005,0.007727,0.149756,1.153366,1.147993,3.028927,1.875561,11.612078,11.666425,30.637928,0.441786,7.500000,43.98,43.77,21.81,24.19,24.19,98.86,120.3,120.0,0.3,1487,3.677,10:58:32,2025-04-03,0.11,1,0.007,0.005,-0.006,-0.002,0.004,0.005,1,115,0.005,2.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,2.490638,2.501842,1.357157,0.843786,0.309858,0.026782,0.370482,1.397902,36.983727,0.000134,2.417466,-0.000070,1.000000,2.427854,-0.000070,1.000000,0.600196,0.599648,0.106705,0.000000,,PFA-00224,PSA-00236,,RHS-00313,3.0.0,2025-03-19T00:30:05.507Z
28,11:12:57,2025-04-03,Petals MtDiablo,Shea Nolan,,014,A,top,0.002947,2.538430,0.002944,0.057245,1.108466,1.106410,2.990602,1.882137,11.193359,11.214151,30.255396,0.441786,7.500000,41.16,41.08,22.24,23.98,23.98,98.85,120.3,120.0,0.2,1156,3.675,11:11:45,2025-04-03,0.05,1,0.005,0.000,-9999.000,0.002,-0.002,-9999.000,1,115,0.005,2.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,2.486568,2.497632,1.356815,0.843789,0.304497,0.019288,0.374952,1.110757,37.063480,0.000131,2.417466,-0.000070,1.000000,2.427854,-0.000070,1.000000,0.600196,0.599648,0.106705,0.000000,,PFA-00224,PSA-00236,,RHS-00313,3.0.0,2025-03-19T00:30:05.507Z
29,11:17:23,2025-04-03,Petals MtDiablo,Shea Nolan,,015,A,bottom,0.004297,2.540349,0.004289,0.068107,1.102412,1.099969,2.642557,1.540145,11.125264,11.149972,26.727253,0.441786,7.500000,41.04,40.95,22.20,21.93,21.93,98.87,120.4,119.7,0.6,1735,3.673,11:11:45,2025-04-03,0.05,1,-0.000,-0.001,-9999.000,0.004,0.006,-9999.000,1,115,0.005,2.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,2.486383,2.497467,1.357956,0.843122,0.305025,-0.003603,0.384652,1.613388,37.000179,0.000134,2.417466,-0.000070,1.000000,2.427854,-0.000070,1.000000,0.600196,0.599648,0.106705,0.000000,,PFA-00224,PSA-00236,,RHS-00313,3.0.0,2025-03-19T00:30:05.507Z
30,11:17:49,2025-04-03,Petals MtDiablo,Shea Nolan,,015,A,top,-0.002141,2.540329,-0.002143,-0.045978,1.093247,1.094897,3.168999,2.075752,11.073374,11.056692,32.050068,0.441786,7.500000,40.70,40.76,22.20,24.94,24.94,98.88,120.4,120.0,0.4,1621,3.674,11:11:45,2025-04-03,0.05,1,-0.002,-0.002,-9999.000,0.002,0.000,-9999.000,1,115,0.005,2.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,2.486098,2.496950,1.357944,0.843727,0.305009,0.031062,0.385818,1.514161,37.010193,0.000133,2.417466,-0.000070,1.000000,2.427854,-0.000070,1.000000,0.600196,0.599648,0.106705,0.000000,,PFA-00224,PSA-00236,,RHS-00313,3.0.0,2025-03-19T00:30:05.507Z
31,11:23:49,2025-04-03,Petals MtDiablo,Shea Nolan,,016,A,bottom,0.006805,2.540062,0.006786,0.116827,1.084994,1.080801,2.754494,1.669500,10.928138,10.970536,27.851097,0.441786,7.500000,39.71,39.55,22.48,22.61,22.61,98.90,120.4,119.8,0.5,1593,3.671,11:11:45,2025-04-03,0.05,1,0.005,0.003,-9999.000,0.000,-0.000,-9999.000,1,115,0.005,2.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,2.484243,2.495400,1.357785,0.843298,0.301602,0.000896,0.399920,1.489585,37.084579,0.000131,2.417466,-0.000070,1.000000,2.427854,-0.000070,1.000000,0.600196,0.599648,0.106705,0.000000,,PFA-00224,PSA-00236,,RHS-00313,3.0.0,2025-03-19T00:30:05.507Z
