SYS,SYS,SYS,SYS,SYS,USERDEF,USERDEF,USERDEF,USERDEF,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,MATCH,MATCH,MATCH,MATCH,STABILITY,STABILITY,STABILITY,STABILITY,STABILITY,STABILITY,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,META,META,META,META,META,META,META
9,10:54:05,2025-03-11,Petals barcode,Shea Nolan,,005,A,bottom,-0.001202,2.540317,-0.001202,-0.022748,1.024187,1.025000,2.849358,1.825171,10.417774,10.409515,28.959980,0.441786,7.500000,37.36,37.39,22.53,23.17,23.17,98.39,120.4,119.7,0.6,1227,4.022,10:44:36,2025-03-11,0.06,1,0.000,0.002,-9999.000,-0.003,0.000,-9999.000,1,115,0.005,2.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,2.480999,2.491833,1.357937,0.843180,0.300991,0.006699,0.208924,1.172046,46.291351,0.000131,2.417466,-0.000070,1.000000,2.427854,-0.000070,1.000000,0.600196,0.599648,0.106705,0.000000,,PFA-00224,PSA-00236,,RHS-00313,3.0.0,2025-02-26T02:26:52.357Z
10,10:55:13,2025-03-11,Petals barcode,Shea Nolan,,005,A,bottom,0.004695,2.535960,0.004686,0.081568,0.984204,0.981281,2.664677,1.680473,9.974825,10.004535,27.086725,0.441786,7.500000,35.76,35.66,22.60,22.07,22.07,98.38,120.1,120.0,0.1,1633,4.021,10:54:54,2025-03-11,0.10,1,0.001,0.004,-9999.000,0.001,0.005,-9999.000,1,115,0.005,2.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,2.478358,2.489312,1.355351,0.843765,0.300194,-0.006633,0.214367,1.524334,46.213387,0.000132,2.417466,-0.000070,1.000000,2.427854,-0.000070,1.000000,0.600196,0.599648,0.106705,0.000000,,PFA-00224,PSA-00236,,RHS-00313,3.0.0,2025-02-26T02:26:52.357Z
11,10:55:53,2025-03-11,Petals barcode,Shea Nolan,,005,A,top,0.007397,2.538940,0.007376,0.169555,1.021107,1.015044,3.234278,2.213171,10.315305,10.376920,32.868095,0.441786,7.500000,37.12,36.90,22.59,25.29,25.29,98.40,120.3,119.9,0.3,2005,4.020,10:54:54,2025-03-11,0.10,1,-0.002,-0.004,-9999.000,0.001,0.001,-9999.000,1,115,0.005,2.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,2.480239,2.491387,1.357119,0.843580,0.300277,0.030551,0.217412,1.847655,46.214104,0.000131,2.417466,-0.000070,1.000000,2.427854,-0.000070,1.000000,0.600196,0.599648,0.106705,0.000000,,PFA-00224,PSA-00236,,RHS-00313,3.0.0,2025-02-26T02:26:52.357Z
12,10:59:03,2025-03-11,Petals barcode,Shea Nolan,,006,A,bottom,0.002199,2.538900,0.002197,0.049179,1.049966,1.048209,3.205056,2.155089,10.654042,10.671909,32.576340,0.441786,7.500000,38.16,38.10,22.59,25.13,25.13,98.39,120.3,119.7,0.5,1692,4.017,10:54:54,2025-03-11,0.10,1,0.002,0.003,-9999.000,0.003,-0.002,-9999.000,1,115,0.005,2.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,2.482048,2.492977,1.357095,0.843234,0.300262,0.028745,0.231509,1.575987,46.022057,0.000132,2.417466,-0.000070,1.000000,2.427854,-0.000070,1.000000,0.600196,0.599648,0.106705,0.000000,,PFA-00224,PSA-00236,,RHS-00313,3.0.0,2025-02-26T02:26:52.357Z
13,10:59:53,2025-03-11,Petals barcode,Shea Nolan,,006,A,top,0.002059,2.538354,0.002058,0.048552,1.010084,1.008347,3.281486,2.271402,10.246570,10.264221,33.345634,0.441786,7.500000,36.59,36.53,22.65,25.53,25.53,98.41,120.3,120.0,0.2,1842,4.016,10:54:54,2025-03-11,0.10,1,0.001,0.001,-9999.000,-0.001,-0.004,-9999.000,1,115,0.005,2.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,2.479666,2.490568,1.356770,0.843838,0.299583,0.032753,0.234830,1.706053,45.956970,0.000135,2.417466,-0.000070,1.000000,2.427854,-0.000070,1.000000,0.600196,0.599648,0.106705,0.000000,,PFA-00224,PSA-00236,,RHS-00313,3.0.0,2025-02-26T02:26:52.357Z
14,11:06:51,2025-03-11,Petals barcode,Shea Nolan,,007,A,bottom,-0.005516,2.539537,-0.005528,-0.091651,1.077467,1.080740,2.677367,1.599900,10.986259,10.952985,27.216759,0.441786,7.500000,39.09,39.21,22.62,22.15,22.15,98.37,120.4,119.9,0.4,1381,4.011,10:54:54,2025-03-11,0.10,1,0.003,0.004,-0.001,0.000,0.002,-0.005,1,115,0.005,2.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,2.483703,2.494374,1.357473,0.843611,0.299896,-0.006035,0.261465,1.306030,45.205952,0.000131,2.417466,-0.000070,1.000000,2.427854,-0.000070,1.000000,0.600196,0.599648,0.106705,0.000000,,PFA-00224,PSA-00236,,RHS-00313,3.0.0,2025-02-26T02:26:52.357Z
15,11:08:47,2025-03-11,Petals barcode,Shea Nolan,,007,A,bottom,0.002498,2.540471,0.002495,0.042910,1.007199,1.005666,2.667215,1.660017,10.222702,10.238282,27.112528,0.441786,7.500000,36.54,36.49,22.62,22.08,22.08,98.38,120.4,120.0,0.4,1353,4.009,11:07:21,2025-03-11,0.11,1,0.000,-0.001,0.002,0.001,-0.001,-0.003,1,115,0.005,2.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,2.479615,2.490484,1.358029,0.843845,0.299908,-0.006729,0.269765,1.281953,45.165539,0.000133,2.417466,-0.000070,1.000000,2.427854,-0.000070,1.000000,0.600196,0.599648,0.106705,0.000000,,PFA-00224,PSA-00236,,RHS-00313,3.0.0,2025-02-26T02:26:52.357Z
16,11:09:30,2025-03-11,Petals barcode,Shea Nolan,,007,A,top,-0.002281,2.540181,-0.002283,-0.038718,1.062895,1.064277,2.699200,1.636305,10.819534,10.805482,27.440308,0.441786,7.500000,38.49,38.54,22.66,22.28,22.28,98.37,120.4,120.1,0.3,547,4.008,11:07:21,2025-03-11,0.11,1,0.001,0.004,-9999.000,-0.000,0.002,-9999.000,1,115,0.005,2.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,2.482687,2.493429,1.357856,0.844044,0.299499,-0.004905,0.272579,0.581970,45.135498,0.000135,2.417466,-0.000070,1.000000,2.427854,-0.000070,1.000000,0.600196,0.599648,0.106705,0.000000,,PFA-00224,PSA-00236,,RHS-00313,3.0.0,2025-02-26T02:26:52.357Z
17,11:14:11,2025-03-11,Petals barcode,Shea Nolan,,008,A,bottom,-0.002630,2.539345,-0.002632,-0.058529,0.976942,0.979034,3.118057,2.141116,9.955195,9.933923,31.705618,0.441786,7.500000,34.98,35.06,22.84,24.67,24.67,98.34,120.3,120.2,0.1,1727,4.004,11:07:21,2025-03-11,0.11,1,-0.000,0.001,-9999.000,-0.001,-0.003,-9999.000,1,115,0.005,2.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,2.477396,2.488042,1.357359,0.844271,0.297299,0.020469,0.289305,1.606690,44.791817,0.000139,2.417466,-0.000070,1.000000,2.427854,-0.000070,1.000000,0.600196,0.599648,0.106705,0.000000,,PFA-00224,PSA-00236,,RHS-00313,3.0.0,2025-02-26T02:26:52.357Z
18,11:14:47,2025-03-11,Petals barcode,Shea Nolan,,008,A,top,0.007523,2.539618,0.007501,0.174736,0.994932,0.988687,3.237297,2.242365,10.050440,10.113928,32.908558,0.441786,7.500000,35.65,35.42,22.83,25.30,25.30,98.37,120.4,120.0,0.3,1765,4.004,11:07:21,2025-03-11,0.11,1,-0.001,0.002,-9999.000,-0.006,-0.006,-9999.000,1,115,0.005,2.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,2.477954,2.489065,1.357522,0.843790,0.297410,0.027949,0.291410,1.638992,44.746040,0.000132,2.417466,-0.000070,1.000000,2.427854,-0.000070,1.000000,0.600196,0.599648,0.106705,0.000000,,PFA-00224,PSA-00236,,RHS-00313,3.0.0,2025-02-26T02:26:52.357Z
19,11:18:06,2025-03-11,Petals barcode,Shea Nolan,,009,A,bottom,-0.042533,2.541654,-0.043256,0.145255,1.090755,1.085576,0.763590,-0.327165,11.037243,11.089898,7.763556,0.441786,7.500000,38.25,38.07,23.18,3.05,3.05,98.36,120.5,-23.3,119.3,1272,4.001,11:07:21,2025-03-11,0.11,1,0.003,-0.000,-0.010,0.000,-0.001,-0.004,1,115,0.005,2.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,2.481877,2.492965,1.358733,0.559673,0.293241,-0.208388,0.302837,1.211228,44.651268,0.000132,2.417466,-0.000070,1.000000,2.427854,-0.000070,1.000000,0.600196,0.599648,0.106705,0.000000,,PFA-00224,PSA-00236,,RHS-00313,3.0.0,2025-02-26T02:26:52.357Z
20,11:18:46,2025-03-11,Petals barcode,Shea Nolan,,009,A,bottom,-0.001632,2.538707,-0.001633,-0.032341,0.982684,0.983841,2.892335,1.909651,10.002574,9.990815,29.405979,0.441786,7.500000,34.09,34.13,23.37,23.42,23.42,98.36,120.3,120.0,0.3,1282,4.000,11:18:20,2025-03-11,0.11,1,0.001,0.000,-9999.000,-0.000,0.000,-9999.000,1,115,0.005,2.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,2.475878,2.486559,1.356980,0.843765,0.291129,-0.000078,0.304837,1.219604,44.610859,0.000133,2.417466,-0.000070,1.000000,2.427854,-0.000070,1.000000,0.600196,0.599648,0.106705,0.000000,,PFA-00224,PSA-00236,,RHS-00313,3.0.0,2025-02-26T02:26:52.357Z
21,11:19:17,2025-03-11,Petals barcode,Shea Nolan,,009,A,top,0.003658,2.539450,0.003652,0.070614,0.967810,0.965285,2.832677,1.864867,9.814398,9.840064,28.800829,0.441786,7.500000,33.42,33.34,23.44,23.08,23.08,98.35,120.3,119.8,0.4,112,3.999,11:18:20,2025-03-11,0.11,1,0.000,0.002,-9999.000,0.002,0.001,-9999.000,1,115,0.005,2.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,2.474653,2.485518,1.357422,0.843484,0.290276,-0.004873,0.306314,0.203873,44.569733,0.000131,2.417466,-0.000070,1.000000,2.427854,-0.000070,1.000000,0.600196,0.599648,0.106705,0.000000,,PFA-00224,PSA-00236,,RHS-00313,3.0.0,2025-02-26T02:26:52.357Z
22,11:21:50,2025-03-11,Petals barcode,Shea Nolan,,010,A,bottom,-0.007908,2.538913,-0.007933,-0.129083,1.010879,1.015492,2.581946,1.571068,10.325371,10.278457,26.252831,0.441786,7.500000,34.95,35.11,23.42,21.55,21.55,98.35,120.3,120.1,0.2,180,3.998,11:18:20,2025-03-11,0.11,1,-0.001,-0.004,-9999.000,-0.003,-0.002,-9999.000,1,115,0.005,2.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,2.477363,2.487878,1.357102,0.843981,0.290496,-0.021889,0.314126,0.263050,44.378044,0.000133,2.417466,-0.000070,1.000000,2.427854,-0.000070,1.000000,0.600196,0.599648,0.106705,0.000000,,PFA-00224,PSA-00236,,RHS-00313,3.0.0,2025-02-26T02:26:52.357Z
23,11:22:18,2025-03-11,Petals barcode,Shea Nolan,,010,A,top,0.007281,2.541284,0.007260,0.125084,1.033835,1.029372,2.696078,1.662243,10.466574,10.511954,27.413509,0.441786,7.500000,35.81,35.65,23.39,22.26,22.26,98.35,120.5,120.0,0.4,58,3.997,11:18:20,2025-03-11,0.11,1,0.002,-0.002,-9999.000,-0.000,0.001,-9999.000,1,115,0.005,2.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,2.478187,2.489192,1.358513,0.843928,0.290818,-0.013588,0.315557,0.156680,44.329762,0.000130,2.417466,-0.000070,1.000000,2.427854,-0.000070,1.000000,0.600196,0.599648,0.106705,0.000000,,PFA-00224,PSA-00236,,RHS-00313,3.0.0,2025-02-26T02:26:52.357Z
24,11:24:18,2025-03-11,Petals barcode,Shea Nolan,,011,A,bottom,0.003812,2.538605,0.003807,0.066141,0.983948,0.981583,2.661179,1.677231,9.980532,10.004580,27.058323,0.441786,7.500000,34.11,34.03,23.37,22.05,22.05,98.35,120.3,119.9,0.3,656,3.996,11:18:20,2025-03-11,0.11,1,0.003,0.003,-9999.000,0.006,-0.000,-9999.000,1,115,0.005,2.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,2.475729,2.486597,1.356920,0.843656,0.291026,-0.015797,0.322222,0.676296,44.212818,0.000134,2.417466,-0.000070,1.000000,2.427854,-0.000070,1.000000,0.600196,0.599648,0.106705,0.000000,,PFA-00224,PSA-00236,,RHS-00313,3.0.0,2025-02-26T02:26:52.357Z
25,11:24:48,2025-03-11,Petals barcode,Shea Nolan,,011,A,top,0.003122,2.543634,0.003118,0.053700,0.966799,0.964885,2.629320,1.662521,9.811348,9.830814,26.736013,0.441786,7.500000,33.55,33.48,23.36,21.85,21.85,98.34,120.7,119.9,0.6,412,3.995,11:18:20,2025-03-11,0.11,1,0.001,0.001,-9999.000,-0.001,-0.003,-9999.000,1,115,0.005,2.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,2.474886,2.485721,1.359914,0.843623,0.291175,-0.017874,0.323762,0.464540,44.177773,0.000132,2.417466,-0.000070,1.000000,2.427854,-0.000070,1.000000,0.600196,0.599648,0.106705,0.000000,,PFA-00224,PSA-00236,,RHS-00313,3.0.0,2025-02-26T02:26:52.357Z
26,11:29:36,2025-03-11,Petals barcode,Shea Nolan,,012,A,bottom,0.004017,2.541510,0.004011,0.071832,1.016839,1.014277,2.744135,1.727296,10.315999,10.342061,27.910030,0.441786,7.500000,35.64,35.55,23.19,22.55,22.55,98.32,120.5,119.9,0.5,1026,3.992,11:18:20,2025-03-11,0.11,1,-0.001,0.000,-9999.000,-0.001,-0.002,-9999.000,1,115,0.005,2.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,2.478075,2.488978,1.358647,0.843613,0.293126,-0.008015,0.338262,0.997924,43.877720,0.000134,2.417466,-0.000070,1.000000,2.427854,-0.000070,1.000000,0.600196,0.599648,0.106705,0.000000,,PFA-00224,PSA-00236,,RHS-00313,3.0.0,2025-02-26T02:26:52.357Z
27,11:30:24,2025-03-11,Petals barcode,Shea Nolan,,012,A,top,0.004264,2.540021,0.004257,0.073687,0.986393,0.983761,2.656989,1.670596,10.005278,10.032045,27.022726,0.441786,7.500000,34.40,34.31,23.28,22.02,22.02,98.32,120.4,119.9,0.4,540,3.991,11:29:50,2025-03-11,0.09,1,0.002,0.002,-9999.000,-0.002,-0.003,-9999.000,1,115,0.005,2.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,2.476171,2.487089,1.357761,0.843686,0.292164,-0.014965,0.340718,0.575209,43.847321,0.000132,2.417466,-0.000070,1.000000,2.427854,-0.000070,1.000000,0.600196,0.599648,0.106705,0.000000,,PFA-00224,PSA-00236,,RHS-00313,3.0.0,2025-02-26T02:26:52.357Z
28,11:36:26,2025-03-11,Petals barcode,Shea Nolan,,013,A,bottom,0.006587,2.541271,0.006570,0.122531,0.983949,0.979577,2.782260,1.798311,9.964619,10.009096,28.302177,0.441786,7.500000,34.17,34.02,23.35,22.78,22.78,98.31,120.5,120.0,0.4,1500,3.985,11:29:50,2025-03-11,0.09,1,0.004,0.001,-9999.000,0.001,0.002,-9999.000,1,115,0.005,2.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,2.475714,2.486720,1.358505,0.843779,0.291344,-0.007192,0.357743,1.409006,43.497204,0.000132,2.417466,-0.000070,1.000000,2.427854,-0.000070,1.000000,0.600196,0.599648,0.106705,0.000000,,PFA-00224,PSA-00236,,RHS-00313,3.0.0,2025-02-26T02:26:52.357Z
29,11:36:53,2025-03-11,Petals barcode,Shea Nolan,,013,A,top,0.000225,2.540554,0.000225,0.004080,0.973958,0.973812,2.724610,1.750652,9.905599,9.907081,27.714687,0.441786,7.500000,33.78,33.78,23.37,22.43,22.43,98.31,120.4,119.9,0.4,227,3.985,11:29:50,2025-03-11,0.09,1,-0.000,0.000,-9999.000,-0.003,-0.001,-9999.000,1,115,0.005,2.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,2.475340,2.486115,1.358078,0.843625,0.291105,-0.011345,0.359058,0.303378,43.487549,0.000134,2.417466,-0.000070,1.000000,2.427854,-0.000070,1.000000,0.600196,0.599648,0.106705,0.000000,,PFA-00224,PSA-00236,,RHS-00313,3.0.0,2025-02-26T02:26:52.357Z
30,11:45:57,2025-03-11,Petals barcode,Shea Nolan,,014,A,bottom,0.003431,2.542345,0.003426,0.071427,1.081502,1.078957,3.087755,2.006253,10.973767,10.999651,31.404675,0.441786,7.500000,35.68,35.60,24.20,24.51,24.51,98.32,120.6,120.2,0.3,1530,3.978,11:29:50,2025-03-11,0.09,1,-0.001,-0.003,-9999.000,0.000,0.002,-9999.000,1,115,0.005,2.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,2.477943,2.488872,1.359145,0.844230,0.281593,0.002776,0.381616,1.435046,42.971493,0.000134,2.417466,-0.000070,1.000000,2.427854,-0.000070,1.000000,0.600196,0.599648,0.106705,0.000000,,PFA-00224,PSA-00236,,RHS-00313,3.0.0,2025-02-26T02:26:52.357Z
31,11:46:36,2025-03-11,Petals barcode,Shea Nolan,,014,A,top,0.012237,2.540773,0.012179,0.254201,1.049640,1.040571,3.059163,2.009523,10.582595,10.674834,31.111664,0.441786,7.500000,34.33,34.04,24.34,24.35,24.35,98.33,120.5,119.9,0.5,143,3.977,11:46:10,2025-03-11,0.11,1,0.000,0.003,-9999.000,0.000,-0.001,-9999.000,1,115,0.005,2.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,2.475544,2.486745,1.358209,0.843545,0.279979,-0.000701,0.382954,0.230710,42.950394,0.000133,2.417466,-0.000070,1.000000,2.427854,-0.000070,1.000000,0.600196,0.599648,0.106705,0.000000,,PFA-00224,PSA-00236,,RHS-00313,3.0.0,2025-02-26T02:26:52.357Z
