Study Plot A,Time,Celsius(C),Humidity(%rh),Dew Point(C),Comments,Serial Number
40,3/5/2025 5:38,9,86.5,6.9,,
41,3/5/2025 6:08,9,87.5,7,,
42,3/5/2025 6:38,9,87,7,,
43,3/5/2025 7:08,9,87.5,7,,
44,3/5/2025 7:38,9.5,87.5,7.5,,
45,3/5/2025 8:08,10.5,83.5,7.8,,
46,3/5/2025 8:38,11,79.5,7.6,,
47,3/5/2025 9:08,11,80.5,7.8,,
48,3/5/2025 9:38,12,76.5,8,,
49,3/5/2025 10:08,11.5,78,7.8,,
50,3/5/2025 10:38,12,77.5,8.2,,
51,3/5/2025 11:08,13.5,72.5,8.7,,
52,3/5/2025 11:38,14,72,9,,
53,3/5/2025 12:08,13.5,71,8.4,,
54,3/5/2025 12:38,14,69,8.4,,
55,3/5/2025 13:08,14.5,69,8.9,,
56,3/5/2025 13:38,16.5,57.5,8.1,,
57,3/5/2025 14:08,16,49.5,5.4,,
58,3/5/2025 14:38,16,42,3.1,,
59,3/5/2025 15:08,14,41.5,1.1,,
60,3/5/2025 15:38,14.5,42.5,1.9,,
61,3/5/2025 16:08,16.5,38,2.2,,
62,3/5/2025 16:38,17,40,3.3,,
63,3/5/2025 17:08,16.5,40.5,3,,
64,3/5/2025 17:38,13.5,44.5,1.7,,
65,3/5/2025 18:08,9,60,1.7,,
66,3/5/2025 18:38,8,68,2.5,,
67,3/5/2025 19:08,7.5,73,3,,
68,3/5/2025 19:38,7,74.5,2.8,,
69,3/5/2025 20:08,7,76,3.1,,
70,3/5/2025 20:38,6.5,79.5,3.2,,
71,3/5/2025 21:08,7.5,77,3.7,,
72,3/5/2025 21:38,7,78.5,3.5,,
73,3/5/2025 22:08,7,78,3.4,,
74,3/5/2025 22:38,7,78,3.4,,
75,3/5/2025 23:08,6.5,80,3.3,,
76,3/5/2025 23:38,6.5,80,3.3,,
77,3/6/2025 0:08,6,81.5,3.1,,
78,3/6/2025 0:38,5.5,84,3,,
79,3/6/2025 1:08,5,82.5,2.3,,
80,3/6/2025 1:38,5,83.5,2.4,,
81,3/6/2025 2:08,5,83.5,2.4,,
82,3/6/2025 2:38,5.5,83,2.8,,
83,3/6/2025 3:08,5.5,81,2.5,,
84,3/6/2025 3:38,5,83.5,2.4,,
85,3/6/2025 4:08,5,82.5,2.3,,
86,3/6/2025 4:38,5.5,83,2.8,,
87,3/6/2025 5:08,5,84,2.5,,
88,3/6/2025 5:38,5.5,84,3,,
89,3/6/2025 6:08,6,83,3.3,,
90,3/6/2025 6:38,6,83,3.3,,
91,3/6/2025 7:08,5.5,84.5,3.1,,
92,3/6/2025 7:38,6,84,3.5,,
93,3/6/2025 8:08,6,83,3.3,,
94,3/6/2025 8:38,9.5,72,4.7,,
95,3/6/2025 9:08,11,67,5.1,,
96,3/6/2025 9:38,12.5,61,5.2,,
97,3/6/2025 10:08,15.5,53.5,6.1,,
98,3/6/2025 10:38,16,49.5,5.4,,
99,3/6/2025 11:08,18,46,6.2,,
100,3/6/2025 11:38,19.5,40.5,5.7,,
101,3/6/2025 12:08,17.5,40.5,3.9,,
102,3/6/2025 12:38,19.5,39.5,5.4,,
103,3/6/2025 13:08,20,37,4.9,,
104,3/6/2025 13:38,19,40.5,5.3,,
105,3/6/2025 14:08,18,40,4.2,,
106,3/6/2025 14:38,15.5,44.5,3.5,,
107,3/6/2025 15:08,15.5,48,4.5,,
108,3/6/2025 15:38,18.5,41.5,5.2,,
109,3/6/2025 16:08,18.5,40.5,4.8,,
110,3/6/2025 16:38,14,47.5,3,,
111,3/6/2025 17:08,14,50,3.8,,
112,3/6/2025 17:38,14,48.5,3.3,,
113,3/6/2025 18:08,10,58,2.1,,
114,3/6/2025 18:38,8.5,65,2.3,,
115,3/6/2025 19:08,7,71,2.1,,
116,3/6/2025 19:38,6.5,75.5,2.5,,
117,3/6/2025 20:08,6,75.5,2,,
118,3/6/2025 20:38,5.5,78.5,2.1,,
119,3/6/2025 21:08,5.5,79.5,2.2,,
120,3/6/2025 21:38,5.5,81,2.5,,
121,3/6/2025 22:08,5,84,2.5,,
122,3/6/2025 22:38,5,85,2.7,,
123,3/6/2025 23:08,5,84.5,2.6,,
124,3/6/2025 23:38,5,84,2.5,,
125,3/7/2025 0:08,4.5,85,2.2,,
126,3/7/2025 0:38,4.5,85,2.2,,
127,3/7/2025 1:08,4,86,1.9,,
128,3/7/2025 1:38,4,88,2.2,,
129,3/7/2025 2:08,4,88.5,2.3,,
130,3/7/2025 2:38,4,90.5,2.6,,
131,3/7/2025 3:08,5,89.5,3.4,,
132,3/7/2025 3:38,5.5,87,3.5,,
133,3/7/2025 4:08,5,89,3.3,,
134,3/7/2025 4:38,4,93.5,3,,
135,3/7/2025 5:08,4.5,90.5,3.1,,
136,3/7/2025 5:38,3,93,2,,
137,3/7/2025 6:08,3,95,2.3,,
138,3/7/2025 6:38,3.5,96,2.9,,
139,3/7/2025 7:08,4,95,3.3,,
140,3/7/2025 7:38,5,95.5,4.3,,
141,3/7/2025 8:08,10.5,77.5,6.7,,
142,3/7/2025 8:38,13,67,7,,
143,3/7/2025 9:08,15,49.5,4.5,,
144,3/7/2025 9:38,17,45.5,5.2,,
145,3/7/2025 10:08,18,42.5,5.1,,
146,3/7/2025 10:38,19.5,38.5,5,,
147,3/7/2025 11:08,19,38,4.4,,
148,3/7/2025 11:38,19.5,35,3.6,,
149,3/7/2025 12:08,20.5,36.5,5.1,,
150,3/7/2025 12:38,21.5,31.5,3.9,,
151,3/7/2025 13:08,21.5,28,2.2,,
152,3/7/2025 13:38,21.5,27.5,2,,
153,3/7/2025 14:08,22,25.5,1.4,,
154,3/7/2025 14:38,22.5,25,1.5,,
155,3/7/2025 15:08,22,24,0.5,,
156,3/7/2025 15:38,22.5,26,2.1,,
157,3/7/2025 16:08,21.5,25,0.7,,
158,3/7/2025 16:38,20.5,28,1.4,,
159,3/7/2025 17:08,20,27.5,0.7,,
160,3/7/2025 17:38,18,29,-0.3,,
161,3/7/2025 18:08,13.5,33,-2.4,,
162,3/7/2025 18:38,11,40,-2.1,,
163,3/7/2025 19:08,10.5,58,2.6,,
164,3/7/2025 19:38,10,58.5,2.2,,
165,3/7/2025 20:08,10,53,0.9,,
166,3/7/2025 20:38,9,53.5,0.1,,
167,3/7/2025 21:08,9,54,0.2,,
168,3/7/2025 21:38,8,56.5,-0.1,,
169,3/7/2025 22:08,7,60,-0.2,,
170,3/7/2025 22:38,7,60.5,-0.1,,
171,3/7/2025 23:08,6,64.5,-0.2,,
172,3/7/2025 23:38,6,64.5,-0.2,,
173,3/8/2025 0:08,6,64.5,-0.2,,
174,3/8/2025 0:38,5.5,66,-0.3,,
175,3/8/2025 1:08,5.5,66,-0.3,,
176,3/8/2025 1:38,5,68.5,-0.3,,
177,3/8/2025 2:08,4,74.5,-0.1,,
178,3/8/2025 2:38,4.5,73,0.1,,
179,3/8/2025 3:08,4.5,73,0.1,,
180,3/8/2025 3:38,4.5,71,-0.3,,
181,3/8/2025 4:08,4,72.5,-0.5,,
182,3/8/2025 4:38,4,71,-0.8,,
183,3/8/2025 5:08,4.5,70,-0.5,,
184,3/8/2025 5:38,5.5,68,0.1,,
185,3/8/2025 6:08,4.5,70,-0.5,,
186,3/8/2025 6:38,4.5,70,-0.5,,
187,3/8/2025 7:08,4.5,72.5,0,,
188,3/8/2025 7:38,5,72,0.4,,
189,3/8/2025 8:08,13,53.5,3.8,,
190,3/8/2025 8:38,16,43.5,3.6,,
191,3/8/2025 9:08,16,50,5.6,,
192,3/8/2025 9:38,18,43.5,5.4,,
193,3/8/2025 10:08,19,42.5,6,,
194,3/8/2025 10:38,20.5,42.5,7.3,,
195,3/8/2025 11:08,20.5,42.5,7.3,,
196,3/8/2025 11:38,22.5,39,7.9,,
197,3/8/2025 12:08,23.5,37,8,,
198,3/8/2025 12:38,24,38,8.8,,
199,3/8/2025 13:08,24,36,8,,
200,3/8/2025 13:38,25,35.5,8.7,,
201,3/8/2025 14:08,24.5,34.5,7.8,,
202,3/8/2025 14:38,24.5,34,7.6,,
203,3/8/2025 15:08,25,35,8.5,,
204,3/8/2025 15:38,24.5,34.5,7.8,,
205,3/8/2025 16:08,22.5,36.5,6.9,,
206,3/8/2025 16:38,22.5,39,7.9,,
207,3/8/2025 17:08,21,39.5,6.7,,
208,3/8/2025 17:38,19,41,5.5,,
209,3/8/2025 18:08,14,50.5,3.9,,
210,3/8/2025 18:38,10.5,60,3.1,,
211,3/8/2025 19:08,9.5,58,1.7,,
212,3/8/2025 19:38,8,55,-0.5,,
213,3/8/2025 20:08,8,54.5,-0.6,,
214,3/8/2025 20:38,8,53,-1,,
215,3/8/2025 21:08,7,58,-0.7,,
216,3/8/2025 21:38,6.5,55.5,-1.8,,
217,3/8/2025 22:08,7,55,-1.4,,
218,3/8/2025 22:38,7.5,52,-1.7,,
219,3/8/2025 23:08,6,55.5,-2.2,,
220,3/8/2025 23:38,6.5,52,-2.6,,
221,3/9/2025 0:08,6,55,-2.3,,
222,3/9/2025 0:38,6,55.5,-2.2,,
223,3/9/2025 1:08,6,59,-1.4,,
224,3/9/2025 1:38,5,64,-1.2,,
225,3/9/2025 2:08,5.5,65.5,-0.4,,
226,3/9/2025 2:38,5.5,64,-0.8,,
227,3/9/2025 3:08,5,67,-0.6,,
228,3/9/2025 3:38,5,69.5,-0.1,,
229,3/9/2025 4:08,5,70.5,0.1,,
230,3/9/2025 4:38,4.5,73,0.1,,
231,3/9/2025 5:08,4.5,72.5,0,,
232,3/9/2025 5:38,4,74.5,-0.1,,
233,3/9/2025 6:08,3.5,76.5,-0.2,,
234,3/9/2025 6:38,4,76.5,0.3,,
235,3/9/2025 7:08,5,75,0.9,,
236,3/9/2025 7:38,5.5,74.5,1.3,,
237,3/9/2025 8:08,13.5,56,4.9,,
238,3/9/2025 8:38,15,48,4.1,,
239,3/9/2025 9:08,18,42.5,5.1,,
240,3/9/2025 9:38,18.5,43.5,5.9,,
241,3/9/2025 10:08,19.5,42,6.3,,
242,3/9/2025 10:38,21,39,6.5,,
243,3/9/2025 11:08,21.5,39,7,,
244,3/9/2025 11:38,23.5,36,7.6,,
245,3/9/2025 12:08,23.5,30,4.9,,
246,3/9/2025 12:38,24.5,29.5,5.6,,
247,3/9/2025 13:08,23.5,39,8.8,,
248,3/9/2025 13:38,23,40.5,8.9,,
249,3/9/2025 14:08,22.5,44.5,9.8,,
250,3/9/2025 14:38,22,41.5,8.3,,
251,3/9/2025 15:08,21,43,8,,
252,3/9/2025 15:38,20.5,44.5,8,,
253,3/9/2025 16:08,19.5,44.5,7.1,,
254,3/9/2025 16:38,18,49.5,7.3,,
255,3/9/2025 17:08,16.5,51,6.3,,
256,3/9/2025 17:38,15,54,5.8,,
257,3/9/2025 18:08,10.5,65,4.2,,
258,3/9/2025 18:38,9,70,3.8,,
259,3/9/2025 19:08,7,75.5,3,,
260,3/9/2025 19:38,7,76.5,3.2,,
261,3/9/2025 20:08,7,75,2.9,,
262,3/9/2025 20:38,6.5,73,2,,
263,3/9/2025 21:08,6,73.5,1.6,,
264,3/9/2025 21:38,5.5,75.5,1.5,,
265,3/9/2025 22:08,5,77.5,1.4,,
266,3/9/2025 22:38,5,77.5,1.4,,
267,3/9/2025 23:08,5,78.5,1.6,,
268,3/9/2025 23:38,4.5,81.5,1.6,,
269,3/10/2025 0:08,4,82.5,1.3,,
270,3/10/2025 0:38,4.5,81.5,1.6,,
271,3/10/2025 1:08,4,81,1,,
272,3/10/2025 1:38,4.5,80,1.4,,
273,3/10/2025 2:08,4,81.5,1.1,,
274,3/10/2025 2:38,4.5,80.5,1.4,,
275,3/10/2025 3:08,4.5,80.5,1.4,,
276,3/10/2025 3:38,4.5,80,1.4,,
277,3/10/2025 4:08,4,81,1,,
278,3/10/2025 4:38,4,82,1.2,,
279,3/10/2025 5:08,5,78.5,1.6,,
280,3/10/2025 5:38,4.5,81.5,1.6,,
281,3/10/2025 6:08,5,80,1.8,,
282,3/10/2025 6:38,4.5,84.5,2.1,,
283,3/10/2025 7:08,5.5,85.5,3.3,,
284,3/10/2025 7:38,8.5,79.5,5.2,,
285,3/10/2025 8:08,11.5,64,4.9,,
286,3/10/2025 8:38,14.5,51.5,4.6,,
287,3/10/2025 9:08,15,51,5,,
288,3/10/2025 9:38,17.5,48.5,6.5,,
289,3/10/2025 10:08,19,48.5,7.9,,
290,3/10/2025 10:38,21,42.5,7.8,,
291,3/10/2025 11:08,22,39.5,7.6,,
292,3/10/2025 11:38,21,44,8.3,,
293,3/10/2025 12:08,21.5,41,7.7,,
294,3/10/2025 12:38,22,40,7.8,,
295,3/10/2025 13:08,23,39,8.3,,
296,3/10/2025 13:38,24,36,8,,
297,3/10/2025 14:08,24.5,33.5,7.4,,
298,3/10/2025 14:38,23.5,35.5,7.4,,
299,3/10/2025 15:08,21.5,41,7.7,,
300,3/10/2025 15:38,22.5,39,7.9,,
301,3/10/2025 16:08,21,42,7.6,,
302,3/10/2025 16:38,22,37.5,6.8,,
303,3/10/2025 17:08,20,42,6.7,,
304,3/10/2025 17:38,15.5,47,4.2,,
305,3/10/2025 18:08,13,50.5,3,,
306,3/10/2025 18:38,11.5,50.5,1.6,,
307,3/10/2025 19:08,9,54.5,0.3,,
308,3/10/2025 19:38,8,58.5,0.4,,
309,3/10/2025 20:08,8.5,57,0.5,,
310,3/10/2025 20:38,9.5,50.5,-0.3,,
311,3/10/2025 21:08,9,52.5,-0.2,,
312,3/10/2025 21:38,7.5,55,-0.9,,
313,3/10/2025 22:08,7.5,59.5,0.1,,
314,3/10/2025 22:38,7,61.5,0.1,,
315,3/10/2025 23:08,7.5,56,-0.7,,
316,3/10/2025 23:38,7,55.5,-1.3,,
317,3/11/2025 0:08,6.5,57.5,-1.3,,
318,3/11/2025 0:38,5.5,61.5,-1.3,,
319,3/11/2025 1:08,6,59.5,-1.3,,
320,3/11/2025 1:38,5.5,60.5,-1.5,,
321,3/11/2025 2:08,6,58.5,-1.5,,
322,3/11/2025 2:38,6.5,54,-2.1,,
323,3/11/2025 3:08,7,53.5,-1.8,,
324,3/11/2025 3:38,5.5,57,-2.3,,
325,3/11/2025 4:08,7,50.5,-2.6,,
326,3/11/2025 4:38,6,55,-2.3,,
327,3/11/2025 5:08,5,60.5,-2,,
328,3/11/2025 5:38,4,65,-2,,
329,3/11/2025 6:08,6.5,60,-0.7,,
330,3/11/2025 6:38,5.5,63,-1,,
331,3/11/2025 7:08,6.5,63.5,0.1,,
332,3/11/2025 7:38,7.5,64,1.1,,
333,3/11/2025 8:08,15,46,3.5,,
334,3/11/2025 8:38,18,40,4.2,,
335,3/11/2025 9:08,19,38,4.4,,
336,3/11/2025 9:38,20.5,36,4.9,,
